CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,Poverty
20041,Kansas,Dickinson,19516,9716,9800,858.7040000000001,17896.172000000002,97.58,195.16,58.548,0.0,14718,49096.0,10.5
20043,Kansas,Doniphan,7859,3992,3867,204.33400000000003,7096.677000000001,290.783,70.73100000000001,15.718,0.0,6133,47209.0,12.4
20045,Kansas,Douglas,114967,57490,57477,6553.119000000001,92088.567,4368.746,2529.2740000000003,5058.548000000001,0.0,87951,50939.0,19.0
20047,Kansas,Edwards,2991,1528,1463,586.236,2332.98,26.919000000000004,0.0,8.973,0.0,2082,47303.0,11.7
20049,Kansas,Elk,2683,1339,1344,101.954,2454.945,21.464000000000002,45.611000000000004,10.732000000000001,0.0,2134,36458.0,18.3
20051,Kansas,Ellis,28993,14452,14541,1594.615,26238.665,318.92300000000006,57.986000000000004,376.90900000000005,57.986000000000004,22266,45579.0,15.6
20053,Kansas,Ellsworth,6410,3630,2780,371.78,5563.88,243.57999999999998,19.23,19.23,0.0,5132,47736.0,9.0
20055,Kansas,Finney,37133,18884,18249,17786.707,16449.918999999998,779.793,148.532,1485.32,0.0,20755,49227.0,17.0
20057,Kansas,Ford,34714,17906,16808,18328.992000000002,14510.452,798.422,138.856,451.28200000000004,0.0,17372,50777.0,18.2
20059,Kansas,Franklin,25753,12675,13078,1004.367,23486.736,309.036,103.012,51.506,0.0,19082,51081.0,13.1
20061,Kansas,Geary,36787,19166,17621,5297.328,21667.542999999998,5959.494000000001,257.50899999999996,1140.397,257.50899999999996,24335,43992.0,12.4
20063,Kansas,Gove,2735,1385,1350,57.435,2600.9849999999997,27.35,2.735,13.675,0.0,2078,46364.0,8.2
20065,Kansas,Graham,2593,1258,1335,75.19699999999999,2312.956,80.383,7.779,31.116,0.0,2019,43826.0,11.2
20067,Kansas,Grant,7816,3957,3859,3579.7279999999996,4150.296,0.0,31.264,0.0,0.0,4164,55432.0,10.3
20069,Kansas,Gray,6065,2985,3080,891.555,5137.055,0.0,0.0,6.065,0.0,3958,61000.0,10.0
20071,Kansas,Greeley,1224,611,613,277.84799999999996,900.864,11.016000000000002,7.344,3.672,0.0,907,47750.0,8.1
20073,Kansas,Greenwood,6393,3120,3273,242.934,5913.525000000001,12.786,19.179000000000002,0.0,0.0,4973,38838.0,15.1
20075,Kansas,Hamilton,2586,1342,1244,871.4820000000001,1673.142,0.0,5.172,0.0,0.0,1539,45114.0,14.3
20077,Kansas,Harper,5861,2954,2907,375.104,5304.205,5.861,82.05399999999999,5.861,5.861,4392,43973.0,16.4
20079,Kansas,Harvey,34835,17026,17809,3936.355,29156.895000000004,557.36,139.34,243.84499999999997,0.0,25106,51327.0,13.2
20081,Kansas,Haskell,4130,2078,2052,1177.05,2845.57,0.0,53.690000000000005,37.17,0.0,2400,56484.0,13.8
20083,Kansas,Hodgeman,1939,972,967,141.547,1725.71,0.0,0.0,46.536,0.0,1431,54856.0,4.6
20085,Kansas,Jackson,13400,6667,6733,576.1999999999999,11349.8,93.8,763.8000000000001,67.0,13.4,9889,54077.0,9.1
20087,Kansas,Jefferson,18898,9610,9288,453.552,17801.916,94.49,132.28599999999997,0.0,0.0,14336,57236.0,7.5
20089,Kansas,Jewell,3038,1516,1522,69.874,2904.328,3.0380000000000003,9.114,12.152000000000001,0.0,2440,40553.0,15.5
20091,Kansas,Johnson,566814,277330,289484,41377.422,459119.34,24939.816000000003,1700.442,24939.816000000003,0.0,398235,76113.0,6.2
20093,Kansas,Kearny,3952,2125,1827,1185.6,2616.224,35.568000000000005,3.952,11.856,0.0,2520,50506.0,10.7
20095,Kansas,Kingman,7790,3926,3864,233.7,7338.18,7.79,70.11000000000001,0.0,0.0,5954,50844.0,10.7
20097,Kansas,Kiowa,2536,1245,1291,144.552,2295.08,17.752,10.144,17.752,0.0,1911,43963.0,15.5
20099,Kansas,Labette,21048,10378,10670,905.064,17953.944,715.6320000000001,210.48000000000002,63.144,0.0,15890,41439.0,17.8
20101,Kansas,Lane,1674,817,857,102.114,1546.776,6.696,5.022,0.0,0.0,1278,56507.0,9.0
20103,Kansas,Leavenworth,78227,41806,36421,5162.982,62034.01099999999,6492.841,469.362,1251.632,78.227,57867,63726.0,11.4
20105,Kansas,Lincoln,3154,1566,1588,78.85000000000001,2999.4539999999997,25.232,18.924,9.462,0.0,2395,44276.0,11.0
20107,Kansas,Linn,9528,4659,4869,209.616,8994.432,66.696,114.336,28.584,0.0,7290,46964.0,13.2
20109,Kansas,Logan,2793,1406,1387,125.685,2547.216,0.0,16.758,5.586,0.0,2129,46875.0,8.4
20111,Kansas,Lyon,33462,16262,17200,6826.248,24159.564,769.626,66.924,669.24,0.0,23553,40021.0,21.5
20113,Kansas,McPherson,29252,14511,14741,1140.828,26970.344,292.52,146.26,204.76399999999998,0.0,22234,56128.0,7.2
20115,Kansas,Marion,12290,6087,6203,356.40999999999997,11503.439999999999,98.32000000000001,61.45,24.580000000000002,0.0,9556,45927.0,11.4
20117,Kansas,Marshall,10005,4998,5007,230.115,9534.765,30.015,20.01,30.015,0.0,7667,45374.0,11.1
20119,Kansas,Meade,4383,2258,2125,631.152,3620.3579999999997,26.298000000000002,8.766,43.83,0.0,2944,52250.0,11.3
20121,Kansas,Miami,32688,16097,16591,947.9519999999999,30432.528,424.944,163.44,130.752,0.0,24108,60966.0,9.2
20123,Kansas,Mitchell,6296,3208,3088,119.624,6056.752,25.184,37.776,44.071999999999996,0.0,4868,48217.0,10.4
20125,Kansas,Montgomery,34184,16851,17333,2051.04,27483.936,1743.3839999999998,922.9680000000001,307.65600000000006,68.368,25433,41083.0,19.0
20127,Kansas,Morris,5750,2855,2895,247.24999999999997,5336.0,5.75,5.75,23.0,0.0,4503,47089.0,8.9
20129,Kansas,Morton,3106,1648,1458,636.73,2304.652,27.954000000000004,15.530000000000001,6.212,0.0,2107,46028.0,10.8
20131,Kansas,Nemaha,10159,5107,5052,162.544,9742.481000000002,91.43100000000001,50.795,20.318,0.0,7493,48653.0,11.4
20133,Kansas,Neosho,16423,8055,8368,804.727,14895.661,164.23,49.269,32.846000000000004,16.423000000000002,12171,43195.0,18.6
20135,Kansas,Ness,3077,1561,1516,283.084,2744.684,15.385,3.077,0.0,0.0,2338,44904.0,11.7
20137,Kansas,Norton,5590,3182,2408,279.5,5019.82,139.75,22.36,22.36,16.77,4446,47852.0,8.5
20139,Kansas,Osage,16080,8018,8062,418.08000000000004,15163.439999999999,16.080000000000002,144.72000000000003,32.160000000000004,0.0,12136,49915.0,12.6
20141,Kansas,Osborne,3782,1874,1908,60.512,3638.284,15.128,11.346,41.602000000000004,0.0,2957,40216.0,15.4
20143,Kansas,Ottawa,6048,3134,2914,163.29600000000002,5721.407999999999,18.144000000000002,12.096,0.0,0.0,4547,52479.0,7.9
20145,Kansas,Pawnee,6911,3966,2945,525.236,5867.439,331.728,0.0,0.0,0.0,5447,43250.0,7.8
20147,Kansas,Phillips,5501,2686,2815,148.52700000000002,5209.447,22.004,11.002,11.002,0.0,4154,44170.0,9.2
20149,Kansas,Pottawatomie,22625,11209,11416,1153.875,20362.5,271.5,113.125,203.62500000000003,0.0,15564,60216.0,8.9
20151,Kansas,Pratt,9739,4873,4866,642.774,8716.405,68.17299999999999,165.56300000000002,0.0,9.739,7181,49550.0,12.3
20153,Kansas,Rawlins,2545,1293,1252,117.07,2371.94,10.18,10.18,2.545,0.0,2009,41579.0,10.0
20155,Kansas,Reno,64058,32262,31796,5637.104,54577.416,1857.6819999999998,256.232,320.29,0.0,47951,45288.0,12.2
20157,Kansas,Republic,4806,2355,2451,67.28399999999999,4647.402,4.806,4.806,28.836000000000002,0.0,3843,40449.0,12.8
20159,Kansas,Rice,10014,5053,4961,1091.526,8451.816,170.238,80.112,50.07,10.014,7427,48460.0,14.7
20161,Kansas,Riley,75022,40002,35020,5851.716,58217.07199999999,4726.386,300.088,3375.99,150.044,57789,44437.0,22.5
20163,Kansas,Rooks,5186,2537,2649,124.464,4937.072,10.372,15.558,31.116,0.0,3984,43558.0,14.4
20165,Kansas,Rush,3184,1593,1591,95.52,3034.352,0.0,12.736,0.0,0.0,2555,38854.0,9.4
20167,Kansas,Russell,6988,3516,3472,167.71200000000002,6540.768,83.85600000000001,13.976,0.0,48.916,5421,41102.0,12.9
20169,Kansas,Saline,55735,27546,28189,5852.175,45089.615000000005,1727.785,278.675,1393.375,55.735,40559,47801.0,16.1
20171,Kansas,Scott,4928,2399,2529,813.12,4016.3199999999997,0.0,29.568,54.208000000000006,0.0,3581,51850.0,6.6
20173,Kansas,Sedgwick,506529,250929,255600,69394.473,350011.539,45587.61,3545.7029999999995,21274.218,0.0,349651,50657.0,15.1
20175,Kansas,Seward,23274,11839,11435,13568.741999999998,7843.338000000001,814.59,162.91799999999998,674.9459999999999,0.0,11182,47134.0,19.1
20177,Kansas,Shawnee,178792,86783,92009,20561.08,133736.416,13230.608000000002,1251.5439999999999,1966.7120000000002,0.0,130252,50378.0,15.2
20179,Kansas,Sheridan,2531,1321,1210,93.64700000000002,2389.264,2.531,35.434,0.0,0.0,1896,49750.0,6.6
20181,Kansas,Sherman,6054,2933,3121,732.534,5133.7919999999995,84.75599999999999,12.108,0.0,0.0,4544,39029.0,19.0
20183,Kansas,Smith,3740,1835,1905,71.06,3579.1800000000003,14.96,0.0,7.48,0.0,2973,43848.0,14.8
20185,Kansas,Stafford,4320,2161,2159,557.28,3641.7599999999998,43.2,8.64,17.28,0.0,3125,47377.0,16.1
20187,Kansas,Stanton,2149,993,1156,762.895,1297.9959999999999,21.490000000000002,10.745000000000001,4.298,0.0,1275,43780.0,5.3
20189,Kansas,Stevens,5772,2920,2852,1985.5679999999998,3636.36,34.632,28.86,17.316,5.772,3262,55433.0,18.2
20191,Kansas,Sumner,23638,11694,11944,1229.1760000000002,21345.114,212.74200000000002,307.29400000000004,47.276,23.638,17593,50141.0,12.4
20193,Kansas,Thomas,7925,3900,4025,427.95000000000005,7251.375,142.65,23.775000000000002,7.925,7.925,6033,48504.0,9.7
20195,Kansas,Trego,2951,1435,1516,64.92200000000001,2809.3520000000003,8.853,32.461000000000006,11.804,0.0,2346,54000.0,4.1
20197,Kansas,Wabaunsee,6997,3559,3438,223.904,6556.189,13.994,20.991,13.994,0.0,5221,54688.0,5.9
20199,Kansas,Wallace,1595,789,806,47.85,1545.555,0.0,0.0,1.595,0.0,1148,47279.0,8.2
20201,Kansas,Washington,5686,2885,2801,187.638,5373.2699999999995,45.488,22.744,11.372,0.0,4305,45159.0,11.7
20203,Kansas,Wichita,2204,1150,1054,645.7719999999999,1509.74,0.0,2.204,6.612,0.0,1282,57171.0,9.9
20205,Kansas,Wilson,9061,4477,4584,253.70799999999997,8417.669,18.122,45.305,54.366,0.0,6846,40306.0,18.6
20207,Kansas,Woodson,3211,1606,1605,83.486,3018.3399999999997,16.055,9.633000000000001,6.422,0.0,2506,35787.0,22.8
20209,Kansas,Wyandotte,160806,79445,81361,43739.232,68503.356,38432.634,804.03,5467.404,160.806,97976,40113.0,23.9
21001,Kentucky,Adair,18852,9308,9544,339.336,17664.324,509.0040000000001,18.852,56.556000000000004,0.0,14756,33362.0,21.6
21003,Kentucky,Allen,20355,10014,10341,366.39000000000004,19459.38,284.96999999999997,0.0,101.775,0.0,15294,41326.0,17.2
21005,Kentucky,Anderson,21761,10599,11162,326.41499999999996,20542.384000000002,500.503,0.0,130.566,0.0,16212,53974.0,10.3
21007,Kentucky,Ballard,8256,4098,4158,99.072,7711.104,280.704,41.28,49.536,0.0,6420,42244.0,16.3
21009,Kentucky,Barren,42925,20895,22030,1244.8249999999998,39018.825000000004,1759.9249999999997,128.775,214.625,0.0,32185,38370.0,20.4
21011,Kentucky,Bath,11978,5947,6031,167.69199999999998,11462.946000000002,191.648,11.978,0.0,0.0,8905,33483.0,26.4
21013,Kentucky,Bell,27950,13581,14369,139.75,26440.699999999997,894.4,0.0,83.85000000000001,0.0,21841,22443.0,38.0
